DateKey,ContractKey,SingleMeterFixed,DualMeterDayFixed,DualMeterNightFixed,ExclusiveNightMeterFixed,SingleMeterVariableMeterFactor,SingleMeterVariableBalancingCost,DualMeterDayVariableMeterFactor,DualMeterDayVariableBalancingCost,DualMeterNightVariableMeterFactor,DualMeterNightVariableBalancingCost,ExclusiveNightMeterVariableMeterFactor,ExclusiveNightMeterVariableBalancingCost,DynamicMeterCost,DynamicBalancingCost,SingleMeterInjectionFixed,DualMeterDayInjectionFixed,DualMeterNightInjectionFixed,SingleMeterInjectionMeterFactor,SingleMeterInjectionBalancingCost,DualMeterDayInjectionMeterFactor,DualMeterDayInjectionBalancingCost,DualMeterNightInjectionMeterFactor,DualMeterNightInjectionBalancingCost,AdministrativeCosts,GreenElectricity,WKK
20230101,ENECO_ZON_WIND_FLEX,37.12,37.12,37.12,37.12,0.102,4.086,0.102,4.086,0.102,4.086,0.102,4.086,,,20.97,20.97,20.97,0.075,-2,0.075,-2,0.075,-2,65,2.11,2.11
20230201,ENECO_ZON_WIND_FLEX,23.18,23.18,23.18,23.18,0.102,5.014,0.102,5.014,0.102,5.014,0.102,5.014,,,9.21,9.21,9.21,0.075,-2,0.075,-2,0.075,-2,65,2.24,2.24
20230301,ENECO_ZON_WIND_FLEX,22.14,22.14,22.14,22.14,0.102,5.113,0.102,5.113,0.102,5.113,0.102,5.113,,,8.51,8.51,8.51,0.075,-2,0.075,-2,0.075,-2,65,2.25,2.25
20230401,ENECO_ZON_WIND_FLEX,19.95,19.95,19.95,19.95,0.102,4.998,0.102,4.998,0.102,4.998,0.102,4.998,,,7.14,7.14,7.14,0.075,-2,0.075,-2,0.075,-2,65,2.25,2.25
20230501,ENECO_ZON_WIND_FLEX,19.88,19.88,19.88,19.88,0.102,4.926,0.102,4.926,0.102,4.926,0.102,4.926,,,7.14,7.14,7.14,0.075,-2,0.075,-2,0.075,-2,65,2.25,2.25
20230601,ENECO_ZON_WIND_FLEX,17.95,17.95,17.95,17.95,0.102,4.901,0.102,4.901,0.102,4.901,0.102,4.901,,,5.57,5.57,5.57,0.075,-2,0.075,-2,0.075,-2,65,2.25,2.25
20230701,ENECO_ZON_WIND_FLEX,19.12,19.12,19.12,19.12,0.102,4.722,0.102,4.722,0.102,4.722,0.102,4.722,,,6.64,6.64,6.64,0.075,-2,0.075,-2,0.075,-2,65,2.25,2.25
20230801,ENECO_ZON_WIND_FLEX,19.27,19.27,19.27,19.27,0.102,4.833,0.102,4.833,0.102,4.833,0.102,4.833,,,6.74,6.74,6.74,0.075,-2,0.075,-2,0.075,-2,65,2.24,2.24
20230901,ENECO_ZON_WIND_FLEX,19.23,19.23,19.23,19.23,0.102,4.902,0.102,4.902,0.102,4.902,0.102,4.902,,,6.94,6.94,6.94,0.075,-2,0.075,-2,0.075,-2,65,2.24,2.24
20231001,ENECO_ZON_WIND_FLEX,19.07,19.07,19.07,19.07,0.102,4.749,0.102,4.749,0.102,4.749,0.102,4.749,,,6.94,6.94,6.94,0.075,-2,0.075,-2,0.075,-2,65,2.24,2.24
20231101,ENECO_ZON_WIND_FLEX,18.49,18.49,18.49,18.49,0.102,4.748,0.102,4.748,0.102,4.748,0.102,4.748,,,6.66,6.66,6.66,0.074,-2,0.074,-2,0.074,-2,65,2.24,2.24
20231201,ENECO_ZON_WIND_FLEX,16.95,16.95,16.95,16.95,0.102,4.748,0.102,4.748,0.102,4.748,0.102,4.748,,,5.60,5.60,5.60,0.074,-2,0.074,-2,0.074,-2,74.2,2.25,2.25
20240101,ENECO_ZON_WIND_FLEX,16.89,16.89,16.89,16.89,0.102,4.691,0.102,4.691,0.102,4.691,0.102,4.691,,,5.60,5.60,5.60,0.074,-2,0.074,-2,0.074,-2,74.2,1.56,1.56
20240201,ENECO_ZON_WIND_FLEX,13.20,13.20,13.20,13.20,0.102,4.719,0.102,4.719,0.102,4.719,0.102,4.719,,,2.88,2.88,2.88,0.074,-2,0.074,-2,0.074,-2,74.2,1.56,1.56
20240301,ENECO_ZON_WIND_FLEX,12.18,12.18,12.18,12.18,0.102,4.715,0.102,4.715,0.102,4.715,0.102,4.715,,,2.20,2.20,2.20,0.074,-2,0.074,-2,0.074,-2,74.2,1.55,1.55
20240401,ENECO_ZON_WIND_FLEX,12.18,12.18,12.18,12.18,0.102,4.709,0.102,4.709,0.102,4.709,0.102,4.709,,,2.54,2.54,2.54,0.08,-2,0.08,-2,0.08,-2,74.2,1.56,1.56
20240501,ENECO_ZON_WIND_FLEX,13.60,13.60,13.60,13.60,0.102,4.700,0.102,4.700,0.102,4.700,0.102,4.700,,,3.20,3.20,3.20,0.08,-2,0.08,-2,0.08,-2,74.2,1.56,1.56
20240601,ENECO_ZON_WIND_FLEX,15.05,15.05,15.05,15.05,0.102,4.643,0.102,4.643,0.102,4.643,0.102,4.643,,,4.38,4.38,4.38,0.08,-2,0.08,-2,0.08,-2,74.2,1.55,1.55
20240701,ENECO_ZON_WIND_FLEX,14.35,14.35,14.35,14.35,0.102,4.769,0.102,4.769,0.102,4.769,0.102,4.769,,,3.85,3.85,3.85,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.55,1.55
20240801,ENECO_ZON_WIND_FLEX,14.17,14.17,14.17,14.17,0.102,4.799,0.102,4.799,0.102,4.799,0.102,4.799,,,3.73,3.73,3.73,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.55,1.55
20240901,ENECO_ZON_WIND_FLEX,15.03,15.03,15.03,15.03,0.102,4.811,0.102,4.811,0.102,4.811,0.102,4.811,,,4.38,4.38,4.38,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.55,1.55
20241001,ENECO_ZON_WIND_FLEX,13.50,13.50,13.50,13.50,0.102,4.761,0.102,4.761,0.102,4.761,0.102,4.761,,,3.34,3.34,3.34,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.55,1.55
20241101,ENECO_ZON_WIND_FLEX,14.48,14.48,14.48,14.48,0.102,4.749,0.102,4.749,0.102,4.749,0.102,4.749,,,4.02,4.02,4.02,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.53,1.53
20241201,ENECO_ZON_WIND_FLEX,14.57,14.57,14.57,14.57,0.102,3.711,0.102,3.711,0.102,3.711,0.102,3.711,,,4.67,4.67,4.67,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.54,1.54
20250101,ENECO_ZON_WIND_FLEX,14.11,14.11,14.11,14.11,0.102,3.711,0.102,3.711,0.102,3.711,0.102,3.711,,,4.22,4.22,4.22,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.54,1.54
20250201,ENECO_ZON_WIND_FLEX,14.97,14.97,14.97,14.97,0.102,3.711,0.102,3.711,0.102,3.711,0.102,3.711,,,4.99,4.99,4.99,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.56,1.56
20250301,ENECO_ZON_WIND_FLEX,14.62,14.62,14.62,14.62,0.102,3.764,0.102,3.764,0.102,3.764,0.102,3.764,,,4.51,4.51,4.51,0.08,-2.167,0.08,-2.167,0.08,-2.167,124.63,1.56,1.56