EnergyCostKey;DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
2023-05-01_OCTA+_SMART VARIABEL;2023-05-01;OCTA+_SMART VARIABEL;;;;;1.15;10.0;1.29;10.0;1.011;10.0;1.061;10.0;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.0;1.06;0.344
2023-07-01_OCTA+_SMART VARIABEL;2023-07-01;OCTA+_SMART VARIABEL;;;;;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9;1;0.325
2023-09-01_OCTA+_SMART VARIABEL;2023-09-01;OCTA+_SMART VARIABEL;;;;;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9;1.06;0.344
2023-10-01_OCTA+_SMART VARIABEL;2023-10-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.00;1.06;0.344
2023-11-01_OCTA+_SMART VARIABEL;2023-11-01;OCTA+_SMART VARIABEL;65.00;;;;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.908;0.344
2023-12-01_OCTA+_SMART VARIABEL;2023-12-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.00;1.908;0.344
2024-01-01_OCTA+_SMART VARIABEL;2024-01-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.00;1.166;0.430
2024-02-01_OCTA+_SMART VARIABEL;2024-02-01;OCTA+_SMART VARIABEL;61.32;;;;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.00;1.10;0.406
2024-03-01_OCTA+_SMART VARIABEL;2024-03-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;9.00;1.166;0.430
2024-05-01_OCTA+_SMART VARIABEL;2024-05-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.97;-4.00;0.97;-4.00;0.97;-4.00;;1.166;0.430
2024-06-01_OCTA+_SMART VARIABEL;2024-06-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.06;0.43
2024-07-01_OCTA+_SMART VARIABEL;2024-07-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2024-08-01_OCTA+_SMART VARIABEL;2024-08-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2024-09-01_OCTA+_SMART VARIABEL;2024-09-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2024-10-01_OCTA+_SMART VARIABEL;2024-10-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2024-11-01_OCTA+_SMART VARIABEL;2024-11-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2024-12-01_OCTA+_SMART VARIABEL;2024-12-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2025-01-01_OCTA+_SMART VARIABEL;2025-01-01;OCTA+_SMART VARIABEL;;;;;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.43
2025-02-01_OCTA+_SMART VARIABEL;2025-02-01;OCTA+_SMART VARIABEL;;;;;1.15;10;1.29;10;1.011;10;1.061;10;1.02;11.60;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2025-03-01_OCTA+_SMART VARIABEL;2025-03-01;OCTA+_SMART VARIABEL;65.00;65.00;65.00;65.00;1.15;10.00;1.29;10.00;1.011;10.00;1.061;10.00;1.02;11.60;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.430
2023-01-01_TOTALENERGIES_PIXEL;2023-01-01;TOTALENERGIES_PIXEL;25.0;;;;0.301;3.01;0.301;3.01;0.301;2.86;;;;;;;;;;;;2.5091;
2023-02-01_TOTALENERGIES_PIXEL;2023-02-01;TOTALENERGIES_PIXEL;25.0;;;;0.1065;3.01;0.128;3.01;0.090;2.86;;;;;;;;;;;;2.5091;
2023-03-01_TOTALENERGIES_PIXEL;2023-03-01;TOTALENERGIES_PIXEL;25.0;;;;0.1065;2.51;0.128;2.51;0.088;2.51;;;;;;;;;;;;2.5091;
2023-04-01_TOTALENERGIES_PIXEL;2023-04-01;TOTALENERGIES_PIXEL;76.50;;;;0.1065;2.51;0.128;2.51;0.088;2.51;;;;;;;;;;;;2.1557;
2023-05-01_TOTALENERGIES_PIXEL;2023-05-01;TOTALENERGIES_PIXEL;25.0;;;;1.127;2.51;1.127;2.51;1.127;2.36;;;;;;;;;;;;2.4608;
2023-06-01_TOTALENERGIES_PIXEL;2023-06-01;TOTALENERGIES_PIXEL;25.0;;;;0.1065;2.51;0.1280;2.51;0.0880;2.36;;;;;;;;;;;;2.1557;
2023-07-01_TOTALENERGIES_PIXEL;2023-07-01;TOTALENERGIES_PIXEL;25.0;;;;0.1065;2.51;0.1280;2.36;0.0880;2.51;;;;;;;;;;;;0.024608;
2023-08-01_TOTALENERGIES_PIXEL;2023-08-01;TOTALENERGIES_PIXEL;30.00;;;;1.127;2.51;1.280;2.36;0.091;2.51;;;;;;;;;;;;0.02219;
2023-09-01_TOTALENERGIES_PIXEL;2023-09-01;TOTALENERGIES_PIXEL;;;;;0.146518;2.527;0.1213;2.527;0.0935;2.527;;;;;;;;;;;35.0;2.219;0.1071
2023-10-01_TOTALENERGIES_PIXEL;2023-10-01;TOTALENERGIES_PIXEL;35.0;;;;0.1071;2.53;0.1215;2.53;0.0935;2.53;;;;;0.097;2.37;;;;;;2.2190;0.125032
2024-01-01_TOTALENERGIES_PIXEL;2024-01-01;TOTALENERGIES_PIXEL;35.0;;;;0.1071;2.44;0.121;2.44;0.094;2.31;;;;;;;;;;;;2.2238;
2024-02-01_TOTALENERGIES_PIXEL;2024-02-01;TOTALENERGIES_PIXEL;35.0;;;;0.1071;2.28;0.121;2.28;0.094;2.1;;;;;;;;;;;;2.2238;
2024-01-01_TOTALENERGIES_PIXEL;2024-01-01;TOTALENERGIES_PIXEL;35.0;;;;0.1073;2.23;0.1226;2.23;0.0935;2.23;;;;;;;;;;;;0.00973;0.00205
2024-02-01_TOTALENERGIES_PIXEL;2024-02-01;TOTALENERGIES_PIXEL;35.0;;;;0.122;2.11;0.1074;2.11;0.0942;2.11;;;;;;;;;;;;1.5831;0.0994
2024-03-01_TOTALENERGIES_PIXEL;2024-03-01;TOTALENERGIES_PIXEL;35.0;;;;0.1074;1.8;0.122;1.8;0.0944;1.8;0.098;1.62;;;;;;;;;;1.5831;0
2024-04-01_TOTALENERGIES_PIXEL;2024-04-01;TOTALENERGIES_PIXEL;35.0;;;;0.1074;2.02;0.1199;2.02;0.0963;2.02;;;;;;;;;;;;1.5831;1.84
2024-04-01_TOTALENERGIES_PIXEL;2024-04-01;TOTALENERGIES_PIXEL;35.00;;;;0.1074;2.02;0.1199;2.02;0.0963;2.02;0.098;1.84;;;;;;;;;;1.58;
2024-06-01_TOTALENERGIES_PIXEL;2024-06-01;TOTALENERGIES_PIXEL;55.00;;;;1.71;1.54;1.71;1.71;1.71;1.71;;;;;;;;;;;;1.58;0
2024-07-01_TOTALENERGIES_PIXEL;2024-07-01;TOTALENERGIES_PIXEL;55.00;;;;1.78;8.73;1.78;9.49;1.78;8.06;1.6;8.21;;;;;;;;;;1.58;0.1074
2024-08-01_TOTALENERGIES_PIXEL;2024-08-01;TOTALENERGIES_PIXEL;55.00;55.00;55.00;55.00;0.1071;1.77;0.1177;1.77;0.0975;1.77;0.1023;1.59;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;;1.58;
2024-09-01_TOTALENERGIES_PIXEL;2024-09-01;TOTALENERGIES_PIXEL;55.00;;;;1.73;0.1071;1.73;0.1183;1.56;0.097;1.73;0.102;;;-0.7;0.054;-0.7;0.054;-0.7;0.054;;1.58;
2025-01-01_TOTALENERGIES_PIXEL;2025-01-01;TOTALENERGIES_PIXEL;55.00;55.00;55.00;55.00;1.76;0;1.76;0;1.76;0;1.55;0;;;-0.625;0.038;-0.625;0.038;-0.625;0.038;;1.58;1.50
2024-11-01_TOTALENERGIES_PIXEL;2024-11-01;TOTALENERGIES_PIXEL;55.00;55.00;55.00;55.00;1.73;0.1093;1.73;0.1205;1.73;0.0993;1.54;0.1051;;;-0.625;0.0376;-0.625;0.0376;-0.625;0.0376;;1.58;0
2024-12-01_TOTALENERGIES_PIXEL;2024-12-01;TOTALENERGIES_PIXEL;55.00;;;;1.68;0.1316;1.68;0.1422;1.68;0.1222;1.46;0.1261;;;-0.625;-0.0259;-0.625;-0.0259;-0.625;-0.0259;;1.58;0.1092
2025-01-01_TOTALENERGIES_PIXEL;2025-01-01;TOTALENERGIES_PIXEL;55.00;55.00;55.00;55.00;1.127;17.8;1.127;17.8;1.127;17.8;1.127;15.5;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.5831;
2025-01-01_TOTALENERGIES_PIXEL;2025-01-01;TOTALENERGIES_PIXEL;55.00;;;;1.127;1.78;1.127;1.78;1.127;1.78;1.127;1.55;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.58;0.1084
2025-03-01_TOTALENERGIES_PIXEL;2025-03-01;TOTALENERGIES_PIXEL;55.00;;;;1.127;1.74;1.127;1.74;1.127;1.74;1.127;1.51;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;0.1085
2023-01-01_TOTALENERGIES_PIXEL EDRIVE;2023-01-01;TOTALENERGIES_PIXEL EDRIVE;65.7025;;;;0.480495;0;0.407556;0;0.339263;0;0.345059;0;;;;;;;;;;0.025091;
2023-02-01_TOTALENERGIES_PIXEL EDRIVE;2023-02-01;TOTALENERGIES_PIXEL EDRIVE;65.7;;;;25.21;;28.99;;21.67;;22.4;;;;;;;;;;;2.51;
2023-03-01_TOTALENERGIES_PIXEL EDRIVE;2023-03-01;TOTALENERGIES_PIXEL EDRIVE;65.70;;;;25.15;;30.63;;22.01;;22.62;;;;;;;;;;;2.51;
2023-04-01_TOTALENERGIES_PIXEL EDRIVE;2023-04-01;TOTALENERGIES_PIXEL EDRIVE;65.7025;;;;23.2693;;27.122;;20.9039;;21.7153;;;;;;;;;;;2.1557;
2023-05-01_TOTALENERGIES_PIXEL EDRIVE;2023-05-01;TOTALENERGIES_PIXEL EDRIVE;65.70;;;;23.45;;27.29;;21.09;;22.31;;;;;;;;;;;2.46;
2023-06-01_TOTALENERGIES_PIXEL EDRIVE;2023-06-01;TOTALENERGIES_PIXEL EDRIVE;65.6988;;;;20.3410;;23.6295;;18.3040;;;;;;;;;;;;;2.4608;
2023-07-01_TOTALENERGIES_PIXEL EDRIVE;2023-07-01;TOTALENERGIES_PIXEL EDRIVE;65.6988;;;;0.2656;;0.2273;;0.2038;;0.212;;;;;;;;;;;0.021557;
2023-08-01_TOTALENERGIES_PIXEL EDRIVE;2023-08-01;TOTALENERGIES_PIXEL EDRIVE;165.0;;;;21.4924;;24.9393;;18.1823;;;;;;;;;;;;;2.2190;
2023-09-01_TOTALENERGIES_PIXEL EDRIVE;2023-09-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1071;2.4;0.1213;3.5;0.0935;1.9;;;;;;;;;;;;2.2190;0.0971
2023-10-01_TOTALENERGIES_PIXEL EDRIVE;2023-10-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1071;2.4;0.1215;3.5;0.0935;1.9;0.097;2.76;;;;;;;;;;2.2190;0
2024-01-01_TOTALENERGIES_PIXEL EDRIVE;2024-01-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1071;2.36;0.121;1.86;0.094;2.76;0.098;3.46;;;;;;;;;;2.2238;0
2023-12-01_TOTALENERGIES_PIXEL EDRIVE;2023-12-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1071;2.17;0.121;1.67;0.094;2.51;0.098;3.27;;;;;;;;;;2.2238;0
2024-01-01_TOTALENERGIES_PIXEL EDRIVE;2024-01-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1073;2.12;0.1226;3.22;0.0935;1.62;0.0973;2.46;;;;;;;;;;1.5638;0
2024-02-01_TOTALENERGIES_PIXEL EDRIVE;2024-02-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;0.1074;2.03;0.122;3.13;0.0942;1.53;;;;;;;;;;;;1.5831;0.0994
2024-03-01_TOTALENERGIES_PIXEL EDRIVE;2024-03-01;TOTALENERGIES_PIXEL EDRIVE;;;;;0.122;2.83;0.0944;1.73;0.0994;2.07;;;;;;;;;;;90.0;1.5831;0.1074
2024-04-01_TOTALENERGIES_PIXEL EDRIVE;2024-04-01;TOTALENERGIES_PIXEL EDRIVE;90.0;;;;1.127;17.5;0.0963;1.74;0.0994;2.08;;;;;;;;;;;;1.5831;0.1074
2024-04-01_TOTALENERGIES_PIXEL EDRIVE;2024-04-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;0.1074;1.74;0.1199;2.84;0.0963;1.24;;;;;;;;;;;;1.58;
2024-06-01_TOTALENERGIES_PIXEL EDRIVE;2024-06-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.63;2.73;1.13;1.98;1.13;1.98;;;;;;;;;;;;1.58;
2024-07-01_TOTALENERGIES_PIXEL EDRIVE;2024-07-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.127;1.7;1.192;2.8;0.0969;1.2;;;;;;;;;;;;0.1074;1.58
2024-08-01_TOTALENERGIES_PIXEL EDRIVE;2024-08-01;TOTALENERGIES_PIXEL EDRIVE;90.0;90.0;90.0;90.0;1.071;1.7;1.177;2.8;0.975;1.2;1.023;2.04;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;;1.58;0
2024-09-01_TOTALENERGIES_PIXEL EDRIVE;2024-09-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.15;1.65;2.75;1.183;2.00;0.097;;;;;-0.7;0.054;-0.7;0.054;-0.7;0.054;;1.58;0
2024-10-01_TOTALENERGIES_PIXEL EDRIVE;2024-10-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.68;0.1088;2.78;0.1199;1.18;0.0987;2.00;0.1047;;;2.00;0.038;0.038;-0.625;0.038;-0.625;;1.58;0.038
2024-11-01_TOTALENERGIES_PIXEL EDRIVE;2024-11-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.127;1.68;1.205;2.78;0.0993;1.18;0.1051;2.00;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.50;0
2024-12-01_TOTALENERGIES_PIXEL EDRIVE;2024-12-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.127;1.63;1.193;2.73;1.001;1.13;1.061;1.93;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.58;0.10
2025-01-01_TOTALENERGIES_PIXEL EDRIVE;2025-01-01;TOTALENERGIES_PIXEL EDRIVE;90.00;90.00;90.00;90.00;1.73;12.6503;2.83;14.7343;1.23;11.3021;2.02;12.7980;;;-0.625;2.3772;-0.625;2.3772;-0.625;2.3772;;1.5831;
2025-02-01_TOTALENERGIES_PIXEL EDRIVE;2025-02-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;0.109;1.69;0.1194;2.79;0.0996;1.19;0.1024;1.99;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;
2025-03-01_TOTALENERGIES_PIXEL EDRIVE;2025-03-01;TOTALENERGIES_PIXEL EDRIVE;90.00;;;;1.127;1.74;1.127;2.84;1.127;1.24;1.127;2.03;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;0.1085
2023-08-01_TOTALENERGIES_PIXEL NEXT VAST;2023-08-01;TOTALENERGIES_PIXEL NEXT VAST;85.0;;;;0.1065;2.56;0.1280;2.41;0.0880;2.56;;;;;;;;;;;;2.2190;
2023-09-01_TOTALENERGIES_PIXEL NEXT VAST;2023-09-01;TOTALENERGIES_PIXEL NEXT VAST;;;;;0.1071;2.577;0.1213;2.577;0.0935;2.577;;;;;0.0971;2.415;;;;;90.0;2.219;
2023-10-01_TOTALENERGIES_PIXEL NEXT VAST;2023-10-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.1071;2.58;0.1215;2.58;0.0935;2.58;0.097;2.42;;;;;;;;;;2.2190;0
2024-01-01_TOTALENERGIES_PIXEL NEXT VAST;2024-01-01;TOTALENERGIES_PIXEL NEXT VAST;;;;;0.1071;2.54;0.121;2.54;0.094;2.41;0.098;2.54;;;;;;;;;;2.2238;
2023-12-01_TOTALENERGIES_PIXEL NEXT VAST;2023-12-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;13.4088;12.0734;;0.1071;2.35;0.121;2.35;0.094;2.17;;;;;;;;;;;;2.2238;0
2024-01-01_TOTALENERGIES_PIXEL NEXT VAST;2024-01-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.1073;2.3;0.1226;2.3;0.0935;2.3;0.0973;2.12;;;;;;;;;;1.5638;0.0
2024-02-01_TOTALENERGIES_PIXEL NEXT VAST;2024-02-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.1074;2.21;0.122;2.21;0.0942;2.21;;;;;;;;;;;;1.5831;0.0
2024-03-01_TOTALENERGIES_PIXEL NEXT VAST;2024-03-01;TOTALENERGIES_PIXEL NEXT VAST;;;;;0.1074;1.9;0.122;1.9;0.0944;1.9;0.0994;1.72;;;;;;;;;90.0;1.5831;0
2024-04-01_TOTALENERGIES_PIXEL NEXT VAST;2024-04-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.1074;1.92;0.1199;1.92;0.0963;1.92;;;;;0.098;1.74;;;;;;1.5831;0.0
2024-04-01_TOTALENERGIES_PIXEL NEXT VAST;2024-04-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;0.1074;1.92;0.1199;1.92;0.0963;1.92;;;;;0.098;1.74;;;;;;1.58;
2024-06-01_TOTALENERGIES_PIXEL NEXT VAST;2024-06-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;0.1071;1.81;0.1175;1.81;0.0978;1.81;;;;;;;;;;;;1.58;0
2024-07-01_TOTALENERGIES_PIXEL NEXT VAST;2024-07-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;0.1074;1.88;0.1192;1.88;0.0969;1.88;;;;;;;;;;;;1.58;0
2024-08-01_TOTALENERGIES_PIXEL NEXT VAST;2024-08-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;90.0;90.0;90.0;0.1071;1.87;0.1177;1.87;0.0975;1.87;0.1023;1.69;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;;1.58;0
2024-09-01_TOTALENERGIES_PIXEL NEXT VAST;2024-09-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.1071;1.83;0.1183;1.83;0.097;1.66;0.102;1.83;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;;1.58;1.5
2024-10-01_TOTALENERGIES_PIXEL NEXT VAST;2024-10-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;1.86;0;1.86;0;1.86;0;1.65;0;;;0.038;-0.625;0.038;-0.625;0.038;-0.625;;;
2024-11-01_TOTALENERGIES_PIXEL NEXT VAST;2024-11-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;90.0;90.0;90.0;1.0093;1.85;1.0205;1.85;0.9993;1.85;1.0051;1.66;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;;
2024-12-01_TOTALENERGIES_PIXEL NEXT VAST;2024-12-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;0.1092;1.81;0.1193;1.81;0.1001;1.81;0.1061;1.59;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.58;0.10
2025-01-01_TOTALENERGIES_PIXEL NEXT VAST;2025-01-01;TOTALENERGIES_PIXEL NEXT VAST;90;90;90;90;0.1084;1.9;0.1176;1.9;0.1002;1.9;0.1068;1.68;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.5831;
2025-02-01_TOTALENERGIES_PIXEL NEXT VAST;2025-02-01;TOTALENERGIES_PIXEL NEXT VAST;90.0;;;;0.109;1.87;0.1194;1.87;0.0996;1.64;0.1024;1.64;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;0
2025-03-01_TOTALENERGIES_PIXEL NEXT VAST;2025-03-01;TOTALENERGIES_PIXEL NEXT VAST;90.00;;;;1.92;0.1085;1.92;0.1219;1.92;0.0965;1.69;0.1009;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;0
2024-06-01_TOTALENERGIES_PIXIE;2024-06-01;TOTALENERGIES_PIXIE;25.0;;;;0.1074;1.49;0.1186;1.49;0.0973;1.49;;;;;;;;;;;;1.32;0.1
2024-07-01_TOTALENERGIES_PIXIE;2024-07-01;TOTALENERGIES_PIXIE;25.0;;;;0.1077;1.51;0.1197;1.51;0.0969;1.51;;;;;;;;;;;;1.58;0.1
2024-08-01_TOTALENERGIES_PIXIE;2024-08-01;TOTALENERGIES_PIXIE;;;;;0.1073;1.51;0.1182;1.51;0.0976;1.51;0.1009;1.33;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;25.0;1.58;0
2024-09-01_TOTALENERGIES_PIXIE;2024-09-01;TOTALENERGIES_PIXIE;25.00;25.00;25.00;25.00;1.49;1.073;1.49;1.188;1.49;0.971;1.32;1.018;;;-0.7;0.054;-0.7;0.054;-0.7;0.054;;1.58;0
2024-10-01_TOTALENERGIES_PIXIE;2024-10-01;TOTALENERGIES_PIXIE;25.0;25.0;25.0;25.0;1.55;0.1091;1.55;0.1202;1.55;0.0992;1.35;0.1054;;;0.038;-0.625;0.038;-0.625;0.038;-0.625;;1.58;
2024-11-01_TOTALENERGIES_PIXIE;2024-11-01;TOTALENERGIES_PIXIE;;;;;1.53;11.79;1.53;12.75;1.53;10.92;1.34;11.36;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;25.0;1.58;0
2024-12-01_TOTALENERGIES_PIXIE;2024-12-01;TOTALENERGIES_PIXIE;25.00;;;;0.1094;1.57;0.1185;1.57;0.1012;1.57;0.11;1.35;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.58;0
2025-01-01_TOTALENERGIES_PIXIE;2025-01-01;TOTALENERGIES_PIXIE;25.00;25.00;25.00;25.00;0.1088;1.58;0.1173;1.58;0.1011;1.58;0.1114;1.36;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.5831;
2025-01-01_TOTALENERGIES_PIXIE;2025-01-01;TOTALENERGIES_PIXIE;25.00;;;;0.1088;1.58;0.1173;1.58;0.1011;1.58;0.1114;1.36;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;;1.58;
2025-03-01_TOTALENERGIES_PIXIE;2025-03-01;TOTALENERGIES_PIXIE;25.0;25.0;25.0;25.0;1.59;13.03;1.59;14.32;1.59;11.86;1.36;12.2;;;0.0271;-0.625;0.0271;-0.625;0.0271;-0.625;;1.58;0
